Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2009/10,2009/10,2009/10,,0,,http://reference.data.gov.uk/id/government-year/2009/10
2010/11,2010/11,2010/11,,1,,http://reference.data.gov.uk/id/government-year/2010/11
2011/12,2011/12,2011/12,,2,,http://reference.data.gov.uk/id/government-year/2011/12
2012/13,2012/13,2012/13,,3,,http://reference.data.gov.uk/id/government-year/2012/13
2013/14,2013/14,2013/14,,4,,http://reference.data.gov.uk/id/government-year/2013/14
2014/15,2014/15 ,2014/15,,5,,http://reference.data.gov.uk/id/government-year/2014/15%20
2016/17,2016/17,2016/17,,6,,http://reference.data.gov.uk/id/government-year/2016/17
2017/18,2017/18,2017/18,,7,,http://reference.data.gov.uk/id/government-year/2017/18
2018/19,2018/19,2018/19,,8,,http://reference.data.gov.uk/id/government-year/2018/19
2019/20,2019/20,2019/20,,9,,http://reference.data.gov.uk/id/government-year/2019/20
2020/21,2020/21,2020/21,,10,,http://reference.data.gov.uk/id/government-year/2020/21
2021/22,2021/22,2021/22,,11,,http://reference.data.gov.uk/id/government-year/2021/22
